Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
354		bailu		男人不爱女人，他们只是需要女人。												
355		zhaosheng		不登高山，不知天之高也；不临深溪，不知地之厚也。在这江湖上不历险境，不知太平盛世之可贵也！												
356		danqingsheng		王国富民，霸国富士，仅存之国富大夫，亡国富仓府，是谓上溢而下漏，故患无所救。												
357		xinrudashi		在闷热的夏天人们记挂着那白雪皑皑的冬日，而冬日真正来临后，人们却埋怨夏天为何不早些来。												
358		luohao		天下风云出我辈，一入江湖岁月催！												
359		gaibangdizi		我帮内部近期好像发生了什么大事，丐帮向来以公义著称怎么会得罪了这些来历不明的江湖中人呢？												
360		aya		昨日娘亲扯了一块好看的花布，说是给我做新衣裳的！期待呀！												
361		xiaoying		外表再俊朗的男人也不如一个诚实的踏实的人来的安心，这是爹爹告诉我的。爹的话总是对的。												
362		liangxianglin		近来我与夫人准备进城去见识见识，也把我那调皮的儿子带上！嘿嘿。												
363		yundadao1		我云大刀使得一手好刀法，从前在大宋临安城内杂耍卖艺混口饭吃。现如今加入快刀门专杀那些鸡鸣狗盗之徒，哈哈！												
364		atubo		希望是杀不死的，今天的生活越是困苦，我更是坚强的期望明天。												
365		langhai		嗷嗷…嗷…我在和动物们讲话！有什么可以帮你的吗？												
366		xuchang		是我太过敏感吗？最近在与族中人商议事情的时候总感觉有人在偷听！这渔网撒的还真广啊，都欺负到他爷爷头上了！												
367		hongniangzi		生，容易；活，容易；生活，不容易。												
368		mabole		千里马常有而伯乐不常有。不过当下看来发现人才比发现良驹要有用的多啊，哈哈！												
369		wangshouyi		昨日在酒店吃面竟然吃出这么大条蜈蚣！老板娘还跟我说这是驱毒的！真是岂有此理！												
370		hanzhong		天底下姓韩名忠的人太多了！不要刻意猜测我，你不是我，怎么会了解我？												
371		xuguanran		我丐帮分舵在九嶷溪本只有少许弟子驻守，现今却出了点乱子，好在当地受过丐帮恩惠的百姓也纷纷加入，才一解我分舵燃眉之急。												
372		qianyuanshouwei		前院的守卫都比后院的长的俊！												
373		houyuanshouwei		如今兵力不足，俺已经一个多月没踏出过这后院儿啦！不知上个月种下那棵小树长得可好！												
374		xunyuanduizhang		天底下的山属川蜀地区的最险最峻，当初来当兵为的是把肚子填饱，现在肩膀上却是重重的责任与使命！												
375		beiqindemazei		头可断，血可流，俺的意志是打不倒的！												
376		sikongdu		太阳尚远，但必有太阳。末日之后，仍有末日。												
377		jietoutongzi		爹说大件的就好，选鸡、选肉、选馒头都要选大的！												
378		xiaowanqian		我乃丐帮弟子，在众多的小辈师兄弟中，我的棍法使得最好，不少江湖中人前来挑战，我送给他们的话是：有那些闲功夫找我挑战还不如杀他娘的几条金狗！												
379		duomo		我不懂汉语，不过挺喜欢自己的名字的！有句话好像是好事多磨的意思？哈哈哈！												
380		qianhai		我发现但凡是武林高手要么便是自幼习武，要么则是从未习武偶然间遇见高人指点或者发现盖世秘籍，咋俺就没那好运气呢？												
381		longyin		五毒教黄旗旗主胡献姬早年与我有恩，她在我眼里不是什么邪教妖女，而是个大善人。												
382		zhouhuan		我因自幼家中贫寒，到如今斗大的字仍不识几个，我也想看看兵书颂颂诗文，那些个文人骚客脑子里的东西就是比我这大老粗要多啊！												
383		simazhongheng		司马家族世代为朝廷效力，然而如今朝野局势尚不明朗，我究竟在等待什么结果？												
384		liangtian		有事快点说，我正忙着呢！												
385		heifeng		我的武器是我最好的朋友！你有何贵干？												
386		piriluo		有个叫做大日罗的人，他可没我的本事大哟！要不要我证明给你看？												
387		shenmixinshi		我听说现在的鸽子没有以前那么聪明了，不如从前送信那样安全了，你听说了吗？												
388		tianwangdizi		扬天王之威！												
389		tangmendizi		来访请出示引荐信，闲杂人等速速离开！												
390		luotaihou		世人都说我是蛇蝎心肠，却不知道我的苦楚！												
391		gongnvxiaohong		近来宫中宫女妃子们胭脂水粉钱被削减了大半，就连我的月奉也少了，听说这些钱用在了扩展军备上面！												
392		miaozhu		害人之心不可有，防人之心不可无。人的欲望无止境，你又怎么能够看得通透呢？												
393		huxianji		同样的瓶子，你为什么要装毒药呢？同样的心里，你为什么要充满着烦恼呢？												
394		qianbingcheng		富贵不能淫，贫贱不能移，威武不能屈，这便是大丈夫！												
395		lifengniang		爹爹的病拖至今日也是我的过错，若早日劝说他清个郎中来医治便不会这样了！												
396		yanrui		一只鲜花枯萎了还会再盛开，然而你我却只能匆匆在世间走一遭，是庸庸碌碌的过活还是为天下苍生做点什么？												
397		huangdi		菩萨赐予我们的并没有什么不同。你的心灵跟我一样丰富，你的心胸跟我一样充实！你我本没什么不同。												
398		haolaodan		生活就像是一根油条，注定要经受各种煎熬!												
399		duke		有银子吗？借我少许，明日便还你！												
400		liyuanzhe		看到我肩膀上这把斧头吗？此乃陨石碎片打制而成。这世间共两把，天忍教主完颜襄一把，我一把！												
401		guozheng		居延泽盛产福隆草，可惜近些年谁都来采，连草根都拔没了。市场上奇货可居，前几年这些草还要拿来喂猪的！想想真是好笑，哈哈。												
402		shaizimei		一念天堂，一念地狱...买大还是买小，我开了啊！												
403		muxiaoyun		你给了我一个江湖梦，一个美好的江湖梦，儿女情长快意恩仇！而我却只想过我平淡的日子！												
404		ligunasi		故老相传，乌蛮族人们为我们留下很多美丽的故事与传说，便是讲一千日，每日不重样的故事也说不完，然而那毕竟只是传说……												
405		shenmunasi		隐居百年为的是保守那不为人知的秘密，这究竟是个怎样的诺言？												
406		jinzuonasi		自给自足，鸟语花香的舒坦日子自然惬意。我却希望活在那喧嚣多变得江湖世界中，这或许是天生性格使然。												
407		qiaonvnasi		中原的女人们总是讲求以夫为纲，以夫为天。为何不为自己活着，她们到底是怎么想的？												
408		xunjianshi		不要以为我看不出那些低级的小伎俩，嘿嘿在我面前耍把戏，他们还太嫩哦！												
409		lianquan		我不做盗圣好多年，如今负责百姓的安全。												
410		jinguorenshouling		我跟你打听个人！巴陵县往东三百里路洞庭湖畔胖子屯牛蹄村铁匠黄善人你认识吗？在我饿的要死的时候他给我做了一碗疙瘩汤，那是我吃过的世间最美味的饭食！												
411		biguangchanshi		哪里有人哪里便有江湖，世间凡人皆痛苦，你如何退出？												
412		gesangpingcuo		今日的执著，或许会造成明日的后悔。但若没有执着怎会成功？												
413		laosutou		江湖永远比你想象的深！你真的决定了吗？												
414		kongqinghe		江湖上人们称五毒为邪教，见到五毒弟子更是闻风丧胆如遇虎豹。我们真的有那么可怕吗，正与邪又是谁能断定的？												
415		wanxiang		你和我的一个朋友长得很像，你有兄弟姐妹吗？												
416		tangbuxian		每一个城市都各具特色而令人难忘，很难挑选出我最喜欢的，若你一定要我说那无疑是临安城。我会珍惜在那里的记忆，直到永远！												
417		niewencheng		剑门关乃大宋与西夏边境，是兵家必争之地。我等全力以赴，那些西夏士兵却也不是吃素的啊！												
418		xulaobo		自从有了火药这玩意以来我便与其打交道，这东西也像小孩子一样，要顺着它脾气来，走火可不是闹着玩的啊！												
419		xiaomage		我娘说了，要我春节前给她带个姑娘回去，这是啥意思啊？												
420		zhongxiang		上次从教里带出来的蜈蚣酒，我还没喝上几口就拿去给些受伤的村民治病去了，真怀念那甘醇的味道啊！												
421		sanshugong		小鸡长大了就变成了鹅；鹅长大了，就变成了羊；羊再长大了，就变成了牛；等牛长大了，你就变成了人人敬仰的大侠拉！												
422		xuliang		从现在开始我们就是朋友了，这是事实，你改变不了，因为时间已经过去了。我不知道你会不会因为我而记住那一分钟，但我将会一直记得你。												
423		simaqianqian		我的意中人是个盖世英雄，总有一天他会骑着威风凛凛的白马来娶我！												
424		qingyilaoren		人生最遗憾的,莫过于,轻易地放弃了不该放弃的,固执地坚持了不该坚持的…… 												
425		erya		上次武当一名侠客帮我赶走了一群恶人，他的包裹遗漏在我这了！若他不来取，我也要帮他把东西送上武当山！												
426		lailitou		飘逸洒脱的一头长发一直是我的梦想，我家的后院种满了黑芝麻，都是用来给我洗头的！												
427		matiejiang		打铁看似小事，不过你听说过一个故事没。一个铁匠打坏一个铁蹄，马儿因为铁蹄摔倒在战场，马儿摔倒失了一位将军，失了一位将军输了一场战役，输了一场战役亡了一个国家… 你认为铁匠的作用还是微不足道吗？												
428		sanpangzi		以往日子逍遥自在，现如今局势越发紧张。我都累瘦拉！												
429		wusao		儿行千里母担忧，我大儿子被拉去充军已半年有余，不知他过的好不好！												
430		wulaosi		来一杯吗朋友？酒越喝越暖水越喝越凉！罢了罢了，瞧你那不爽快的样子！												
431		mashi		我是乌蛮一族的神官，也就是祭祀。每年端午前后我乌蛮一族便会举行万人祭祖大典。不过现在的后生们越来越不维护先祖的规矩了……												
432		beiqindecike		如今已被抓来，要杀要剐悉听尊便！你们想要的情报我已经招了，那便是：打死我也不说！												
433		xiemanting		缘分叵测，你我都无从知道下一刻将身在何方，所以好好把握当下吧！												
434		muluoshan		不杀一只虫，不折一支花。这样的人实在没有，人生在世或许总要犯少许错误吧？												
435		fangzhongsheng		新兵入营首当其冲便是强健体魄，接下来还要学习兵法《三十六计》两者皆过关者可委以职务。												
436		biquan		当下正是物资供给紧缺的紧要关头，我等将军级别的人物也要与士兵同吃住，私自享乐者军法处置！												
437		dubin		这几日又温故兵书，悟得三十六计兵法之中，数中有术，术中有数。阴阳燮理，机在其中。机不可设，设则不中。												
438		qiudashi		我面前这香炉里常有香客前来上香，他们或带着美好的愿望，或是心中有罪，不论如何都是些有情之人，你可也要上一柱香吗？												
439		leilaojiu		我这扁担里的是新鲜的水蜜桃和甜瓜，你拿些去在路上吃吧！												
440		qintianjian		如果伤害了敌人也算是罪过的话，那就让我们先清除这世上所有丑恶，再接受佛祖的惩罚吧！												
441		lixueshi		学而不思则罔，思而不学则殆。												
442		xingjiaoshang		最好穿的鞋子莫过于老婆给俺纳的千层底，行商全靠我这双脚丫子，而这双脚丫子全靠这双温暖的千层底。												
443		luocheng		相逢总是缘分，然而相聚的美好终要面对离别的惆怅，江湖儿女更是如此。												
444		wuxin		我名吴信，我却绝非言而无信之人。你有什么事情交给我，我定当全力以赴。												
445		wude		若我是富翁我定然将钱财分给疾苦深重的人们，可惜我不是，我只能管好我自己！												
446		xueyue		嘻嘻，好俊的后生……我雪月自幼得藏弓大师真传，想不想见识下什么叫做百步穿杨？												
447		nangongzhixiang		我本是个小官，来到这里为完成一项特殊任务，如今无人伺候我生活煮饭样样自己来，仿佛回到了儿时啊！												
448		wucai		我的兄弟吴信也在军营中，见到他替我问他声好！做兄弟的同在军营中却已两个多月未曾探望，实在愧疚啊！												
449		liuzheng		江湖儿女，义字当头，却常常因计较个人恩怨而失去了更宝贵的东西！												
450		zhaochun		天下太平安居乐业的日子，不是你我在这里说两句大话便能实现的！												
451		wushi		正所谓智者不惑，仁者不忧，勇者不惧，年轻人，我从你身上看见了大宋的希望！												
452		lishi		现在朝中局势混乱，我日日锦衣玉食却是食不知味！若有像你一样优秀的年轻人可推荐给我，助我朝廷度过难关！												
453		dachen		愿天佑我朝，岁岁昌隆，万寿无疆！												
454		lihouxinfu		作为一个高手，我已习惯了孤独……												
455		xiangsao		这村子里骤然多了许多官兵，出了什么事情？多一事不如少一事，弄不好要惹祸上身！												
456		quanshu		听说有个朝廷命官被人追杀逃到了我们这里，如今这世道怎么这么乱？希望不要出什么乱子才好啊！												
457		xiaobai		这年头儿，都不容易啊，都是出来混的！												
458		yunxiaodao1		黑子是我世界上唯一的亲人啦，我有任务在身忙不开的时候，它也会替我照顾猎鹰宝宝！动物有时比人可靠的多啊！												
459		afu		你是什么人，怎么单枪匹马一人出入，这里很危险，吴家抢兵和刀兵都是蛮横之徒，你最好不要去惹他们。												
460		guzhiyuan		权，然后和轻重；度，然后知长短。闯荡江湖凭的不单单是个“勇”字！												
461		chajiangjun		大金与南宋的仗打了多少场？我母亲也是南宋人。如此我竟算是杀自己人吗？娘亲在天有灵也会对我失望，哎……												
462		lanteshi		朝廷最近正在张榜悬赏，不论是谁只要愿意为朝廷效劳，一定可以得到悬赏。												
463		huyingbing		我等奉命保护大营，闲杂人等速速撤离！												
464		xiaohe		信誓旦旦的誓言有多坚硬？那些曾经说着永不分离的人，如今早已散落天涯……												
465		housan		夏天就是不好，穷的时候我连西北风都没得喝……												
466		lubing		我听说现在各个门派为的是争夺一块宝玉，得此宝玉者能呼风唤雨，颠倒乾坤，有那么神吗？												
467		mabutou		近来朝廷也派援军来我处镇压暴动的矿工和村民，似乎成效不大，难道是他们没有尽力？												
468		wuxiqinbing		守卫将军是我们的职责，要完成这个重任，必须的！												
469		qianshifeibing		人们骂我们，骂我们是匪徒强盗，我们何尝不是被生活所逼？												
470		jiaojiao		我十七岁了，我知道自己长的很漂亮，我最害怕的是会有一个小肚腩，吓跑自己心爱的男子。												
471		wudangdizi		多少年了，我日日苦练数小时，一招一式都已烂熟于心，为何我还不能够成为一个高手？												
472		wudangdizixiaoyin		武当剑法博大精深，我练了几年却武功平平，看来还是悟得不深！												
473		shaolindizichengzhi		学佛是对自己的良心交待，不是做给别人看的。												
474		shaolindizichengye		我们的缺点还很多，当有一天，你深入了解后，你会发现原不是你想像中的那么美好。												
475		shaolindizi		红尘世俗之事我少林弟子不愿涉足，但涉及到国家存亡，我等却会全力以赴。												
476		wududizi		五毒教各旗旗主均有自己的职责，一般的小事先由看守筛查，特别紧要的才会通报！												
477		beifanglaike		这百花阵内玄机重重，依我多年道家修为看来，这是个灵气十足的阵法，这一定是高手的杰作。												
478		tianrenjiaodizi		我的偶像是完颜襄教主，那才算得上是个完美的男人！												
479		tianwangzhenleidizi		锻炼肌肉，防止挨揍！												
480		sixinyandegongjiang		最近好生心烦，人多的时候我做事便不能专心，你又是所为何事？												
481		cailaotoudetudi		师父本次出来意在带我开开眼界，顺便和各大帮派管事儿的混个眼熟，说是将来行走江湖也要方便些！												
482		xiaotian		我听说有个门派唤作武当，武当弟子个个仙风道骨，我愿上山拜师学艺，你能帮我引荐吗？												
483		xiaotianfuqin		有个不听话的儿子，天天嚷嚷着要学武，他怎知道这江湖有多险恶，我只盼望着他平安便是福气！												
484		jinguoxiaoweiqiming		凛烈的北风洗礼我大金国的将士们，他们口口声声要夺回的北宋在我们的统治下也逐渐兴旺起来了。												
485		heiqiguafu		男人，没有一个例外。即使他对你好，千万别被迷惑了，说不定他在背后勾搭别人！												
486		huashi		江山如画！难道这如画的江山在数十年后就只能从我这画纸上寻觅！我手中的画笔能否唤醒人们麻木的记忆？												
487		cuiyandiziyuzhu		天下武林高手为了取得翠烟门的师姐师妹们几乎要踏破门槛，不过最近仿佛又多了一些乱子，让人烦心！												
488		cuiyandizishazhi		无论是谁，都一定能找到真爱。真的，只要你有这个想法，只要你不去逃避！												
489		wugushanmin		俺……俺是无辜的！												
490		cuiyandizixiaoyun		翠烟门的师姐们各个美若天仙，不过要想娶得她们却要经过百般考验！武功高强是必须的，人品也要过关哟！												
491		tianwangdizijintao		门派并不能代表什么，对于和自己不同的存在，我们不应该轻率的作出判断。												
492		gaibangdizihuofeng		风风火火，轰轰烈烈，一生追求贡献，干一番大事业，这便是我丐帮弟子火风的心愿。												
493		kunlunpaidizi		这位少侠，你面色发黄，一定是旅途劳顿的结果。我这里有一瓶昆仑天山雪莲花蕊秘制的醒神药膏，不过我现在还不能给你。												
494		zhaoshan		我最近常常仰头问天——谁来养我啊！												
495		xiangshi		人生苦短、岁月无长、生死离别、人生之道也！												
496		xiangling		积德虽无人见，存善自有天知。												
497		ximo		修身者：心不在焉，视而不见，听而不闻，食而不知其味，此谓修身，在正其心。												
498		jiannu		二十多年的生活，平静、周而复始。从今日起，我的剑上染的都将是敌人的血！												
499		tangjia		多日不见我妹子唐雅，不知道她过得如何？若你见到她帮我带个平安的消息给她吧。												
500		saodilaodao		扫地，不是你想象中那样简单的！												
501		huangfubin		民为贵，社稷次之，君为轻；谁都晓得的道理，却总在失败的时候才记起。												
502		shiweiliuwu		都说我性格太过暴躁，但我并不想改变，遇到不快之事还要拐弯抹角不能发泄，好不窝囊！												
503		wuyi		睡眠是一门艺术——谁也不能阻挡我追求艺术的脚步。												
504		qintao		当我还是孩子时，总会想这样的问题：我为什么是我？而不是你？为什么我在这里，而不在那里？												
505		bizaiyu		为了那些不能放弃的，我放弃了太多，太多……												
506		meihuadaoshouling		我虽从事着令世人鄙视的匪盗事业，但是我的良心未曾泯灭，多年来我一直坚持劫富济贫的原则！												
507		meihuadao		良心……那是什么，我早就没有了，怎么，你还有吗？												
508		xinqiji		众里寻他千百度，蓦然回首，那人却在灯火阑珊处。												
509		luyou		三山山下闲居士，巾履萧然。小醉闲眠，风引飞花落钓船。												
510		zhuxi		胜日寻芳泗水滨，无边光景一时新。等闲识得春风面，万紫千红总是春。												
511		douhao		善政者得民财，善教者得民心；朝廷内乱的糊涂，各地科考制度混乱，真是令人担忧啊！												
512		shutong		知之为知之，不知为不知，是智也。												
513		shangduishouling		你现在是我的朋友，如果有人欺负你，就报我的名字，我叫无敌的衙役！												
514		shangduifushouling		我一帮兄弟闷得很，何时才能喝酒吃肉，快活快活啊！												
515		jinguoshijie		不知家乡的梨花开了没有。												
516		wangxiaoqi		别看我的名字不起眼！我可有大志向，那边是与六位哥哥们一起开一间茶楼！只是目前短缺银两,唉…												
517		dasongxizuo		做人要能瞎蒙，就瞎蒙，生活尽量放轻松。												
518		dadarenshizhe		听说你便是江湖上名声鹊起的侠义之士，化解了多次危机，有兴趣的话我可以为您引荐我王，哈哈哈哈！												
519		jianghongling		你现在是我的人了，如果有人欺负你，就报我的名字，从今天开始，我叫江洪灵。												
520		xixiajiangling		在这鬼地方，白馍馍都不能吃上一个，老子一想到这便窝火，我的弟兄只能战死，不能饿死啊！												
521		huyanli		我姓呼！什么没听过我这个姓，这个姓嘛我也不甚清楚不过据祖辈说是大禹时代的帝王姓氏啊！了不起吧！												
522		xixiaqiaofu		我当樵夫三十年，肩膀都磨成了铁的啦！哪里打仗需要的话知会一声，我不用穿肩铠哟！												
523		xixiacungu		我这里还有些野菜窝头，你要不要拿在路上充饥？不贵，十两银一个！												
524		xixiamafan		我这里的马不同中原的马匹，耐饿，耐疲劳，耐干旱！我说的对不对，您挑上一匹回去便知道了！												
525		jianchashi		眼观六路耳听八方，这便是一名监察使最基本的要求。你看我在发呆吗？不！其实我在思考！												
526		cuixiazi		眼瞎，心不瞎！陌生人与我攀谈几句我便能摸得到他性格的几分，你是个好人！												
527		daoshixuanhe		邻国相望，鸡犬之声相闻，民至老死，不相往来。悲也！												
528		caiyuanding		孤独的极致是繁华，我的那把剑跟了我三十年，陪我见证了这可笑的人间，如今剑已入鞘，我也该休息休息了！												
529		shenmishusheng		大宋文化博大精深，几十上百人对酒当歌场面真是让人怀念啊！你是来向我借书的吗？												
530		yulinxiaowei		海纳百川有容乃大，壁立千仞无欲则刚！												
531		pengguinian		我虽身居高位，其实我并不严肃的啊，我有好多好多故事给我的孙子们讲啊，我是不是很慈祥？												
532		pengfujiading		最近忙的不可开交，因为老爷要过寿啦！虽然老爷交代过一切从简，但是夫人却交代不可怠慢！												
533		weizhuangjiading		真真假假，假假真真，如果我是真的，那么这结果又是如何？												
534		wulingshanqiaofu		作为一个樵夫，我尽到了我应尽的本分，我应该算一个很优秀的樵夫！												
535		shenfumitan		我喜欢黑色，因为黑色能将人隐藏得更深……												
536		zhenzhengdemitan		我的作息时间与常人不同，黑夜，只有在黑夜里人才会露出最脆弱的一面！												
537		shenfujiading		我的编号是008，这编号的上一个主人现在在皇宫中当差，这真是个好兆头！												
538		mishishouwei		没人认识我，我终日与这黑漆漆为伴，就连拥有影子也是奢望。希望我的付出是值得的！												
539		zhaofudementong		我今天心情很不好，看见生得俊俏的人会让我心情好一点, 你可以为我笑一下吗？												
540		liguan		非礼勿视,非礼勿听,非礼勿言,非礼勿动。												
541		yuelao		前天老眼昏花的搭错了几根红线，好在发现得早啊！												
542		menpaizongguan		承蒙教主不弃将门派中大小事务交与我打理，我定当效犬马之劳！												
543		tao_tomb_xishi		我想吃红豆糕。												
544		shenmishangren		别人总以为我在倒腾什么稀奇的玩意，他们想太多了！												
545		liuhetu		岂有此理，震天的炮仗声快将我的耳朵阵聋拉！又是哪个小破孩儿在捣蛋？												
546		gaochunqiu		树不要皮 ，必死无疑，人不要脸 ，天下无敌。												
547		shuilian		我已经长大了，我正在变老。												
548		murongzhao		人世间有多少段感情，也是猜对了开头，却没猜对结局的呢？												
549		gaiya		我今日有些累了，有什么事的话请改日再来找我！												
550		xieshurong		自从哪吒抽了龙王三太子的筋，天庭便不得消停！呃…对不起我又在说梦话了！												
551		luxuan		海阔凭鱼跃,天高任鸟飞。我见你样貌不凡，定能在这江湖上闯荡出一番名堂！												
552		zhuxun		学问二字，须要拆开看。学是学，问是问。今人有学而无问，虽读书万卷，只是一条钝汉。												
553		yeran		古之成大事者,不惟有超士之才,亦有坚忍不拔之志。若想成大事者，才与志缺一不可！												
554		hetaizhamu		巴达以德来！（请吃饭）												
555		shalu		多年来，和我做伴的只是我的影子，还有那些美丽善良的动物们！												
556		sangjilie		赛拜努！（你好）												
557		bakexi		一年一度的那达慕大会又要开始了！各个部落的首领召集在一起，为表示团结友谊和祈庆丰收，都要举行那达慕。												
558		xuru		练武之人一身正气，心生杂念永远无法达到武学之至高境界。												
559		xiaojiuchong		我与江湖中人打交道甚少，却也对少侠之事迹略有耳闻。想必少侠与峨眉派交情不错，有劳少侠再见到仇雪姑娘请代我问她好！												
560		liquantai		世人皆醉，惟我独醒。												
561		luoriwang		我的右眼最近总是跳，俗话说左跳财右跳灾。难道真有什么不好的事情将要发生吗？												
562		dajiechanshi		你什么时候放下，什么时候就没有烦恼。												
563		gaoweibi		凛烈的寒风不是我所惧怕的，冬天里在雪地中丢掉鞋子也无所谓，我最怕失去自己至爱的家人。												
564		wuqingfeng		士兵们说我是个好将军，我确觉得自己是个没耐性的人！看来得好好磨磨我这一身的棱角！												
565		qiaosangzhi		这几日昼夜研读兵法与作战方案，今晨却感到有些体力不支。想当年在战场上连续厮杀三个昼夜也不曾如此，人不得不向岁月低头啊！												
566		wuchenshitai		手如三春杨柳，步如风摆荷叶，出手似闪电，发力如雷霆，静如处子，动若脱兔，其峨嵋之谓也。												
567		lengqiuyun		乞儿从前的日子可谓乐得逍遥！遇到喜宴节庆，说唱逗笑逢迎些吉利的顺口溜，更能讨得酒食或赏钱，乐上好一阵子。												
568		duanmurui		我自幼被完颜宏烈教主收养，如今身为天忍教长老，自当尽心辅佐完颜襄教主重振我教。												
569		yijunshiwei		你可知道现在正是非常时刻，这城里村里鱼龙混杂，你涉世不深，行事尚需小心些！												
570		shilan		不必过分担心我们的明天！今天不是过得很舒坦嘛？												
571		shentieshi		大丈夫应当知晓做人的道理，我便是与你说了，一时半会你也难以明白。												
572		xushiwei		没有希望，生活便失去了意义。希望是任何时候都不能放弃的。												
573		jieshanzong		扩别故乡三年，不知我家中妻儿过的可好？												
574		baijiang		十年前我卖过白菜，打过铁。我见过大宋朝最勇猛的将士，也感受过蒙古武士的威武。人与人本来就没多大区别罢…												
575		gaosheng		父母为我起名望我仕途坦荡，升官发财，为祖上争光，可如今正是国家危难之时，我一定要坚守自己的岗哨！												
576		cuijian		几年前在家中饭都吃不饱，赶巧赶上征兵俺就来了，一天三顿，管饱！嘿嘿嘿…												
577		chuanfu		岸上有两只虎，两袋草，一只牛，我要把他们运到对岸去 我不在的话虎会吃牛，牛会吃草，船每次只允许运其中的一样东西.你说怎么运好呢？												
578		yangjian		滚滚红尘,你我不过一个背影……转身了,怎么回头？												
579		luoyin		泰山不让土壤，故能成其高；大海不择细流，故能成其深 												
580		yunfeng		去年元夜时，花市灯如昼，月上柳梢头，人约黄昏后。今年元夜时，月与灯依旧，不见去年人，泪湿春衫袖。												
581		gongyuan		心是怎样想的便怎样去做，不要委屈亏待自己！												
582		pusan		人应该活在进步中！今天比昨天好，明天比今天好，天天好一点，你便进步了！												
583		zhouyunfeng		时间在流逝，我只会越来越老。												
584		hujia		将军拔剑南天起，我愿做长风绕战旗。												
585		yifan		人生在世孰能无过？知错能改善莫大焉！												
586		yizhou		己所不欲，勿施于人。												
587		zhongqi		或许我不健谈，但我绝对是个合格的倾听者。												
588		yuxiao		时光没有教会我任何东西,却教会了我不要轻易去相信奇迹。												
589		shangjianchu		惟有宽容大度，才能成就一切。												
590		xuxiange		这个江湖似乎已经沉寂过久，我所感觉到的似乎是山雨欲来的躁动。	"""军营声望商店"",""Dialog:OpenShop"",154,1"											
591		zhengbagu		世上没有完美的人，所以每个人都需要帮助，勿以善小而不为。 												
592		yangjing		食物是用来吃的；东西是用来用的；歌曲是用来唱的。 												
593		weiqifeng		行走江湖，不要与小人结怨！												
594		nonghu		今年每亩地又少收了十来斤粮！												
595		nongfu		有的人见过一次我绝对忘不掉，因为他们各自都有特点！你也属于他们中的一个哦！												
596		datongchanshi		人生不是梦。若是梦，就怕梦醒了，人老了。 												
597		jiekong		人的不幸有千万种，而幸福的人只有一种:心境禅定，爱心无染的人。 												
598		jiewang		知道“水至清则无鱼”吗？美玉还暗藏瑕疵呢！有雅量、懂包容才能成大器，君子亦如此！												
599		guiwu		过多结交酒肉朋友有害无益。 												
600		xiugu		春日才看杨柳绿，秋风又见菊花黄…… 												
601		achunsao		我那口子刚宰了两只鸡，准备慰劳战士们呢！												
602		bashugong		人一辈子几十年生命，真正做事的时间太少，再勤劳的人也只能用尽三分之二而已。												
603		fangshaolong		我们要像大象一样，在战场上能承受箭的毒害而继续奋战。 												
604		jiguanqiaojiang		干活要用巧劲。												
605		huyuan		奉养父母亲，爱护妻与子，从业要无害，是为最吉祥 												
606		xinbing		作为一个新兵，我要做到第一刻苦，第二低调。												
607		sunan		人的身体有残缺不算苦，人性的残缺才是真正的苦。世间的灾难祸害大都是由手脚完好、心灵残缺的人造成的。 												
608		weijinde		我们最大的敌人不是别人，而是自己。 												
609		yuyingnan		听说江洋大盗给禅院布施香火钱，要求借宿。可笑！												
610		hongxi		我们要能忍受别人对我们的侮辱和敌视，而保持内心的安详寂静。 												
611		ruanzheng		传言是最可怕的妖怪。 												
612		zhouxuehui		扬人善事，隐他过咎，人所惭耻处，终不宣说，闻他秘事，不向余说。												
613		wangrenhu		人人初与我相识都害怕我，那是因为他们看到我的名字后先入为主。												
614		zhaolin		君子坦荡荡，小人常戚戚！我乃正人君子。												
615		zhutong		荆棘丛中下足易,明月帘下转身难. 美好的东西最易使人迷惑哟！												
616		dingshao		世间最珍贵的莫过于真正拥有！ 												
617		linyu		我睡一会儿,记得呆会叫醒我……												
618		lvzunan		不要相信女人，越是漂亮的女人越会骗人。												
619		yunerdao		云氏七刀的大名想必你已如雷贯耳！我便不再吓你了，年轻人虚心些！												
620		yunsandao		云氏七刀的大名想必你已如雷贯耳！我便不再吓你了，年轻人虚心些！												
621		yunsidao		云氏七刀的大名想必你已如雷贯耳！我便不再吓你了，年轻人虚心些！												
622		yunwudao		云氏七刀的大名想必你已如雷贯耳！我便不再吓你了，年轻人虚心些！												
623		yunliudao		云氏七刀的大名想必你已如雷贯耳！我便不再吓你了，年轻人虚心些！												
624		yunqidao		云氏七刀的大名想必你已如雷贯耳！我便不再吓你了，年轻人虚心些！												
625		qianlai		别人叫我小菜，其实我叫小莱。我开始想不明白这是何解，后来经打听才知道这是一种亲切的叫法，我甚是喜欢！												
626		zhuyoumu		若想人敬己，先要己敬人！												
627		linghun		现如今的后生少有像你这么有礼貌的了，礼多人不怪！												
628		zhuwen		行走江湖，不要和陌生人搭讪！												
629		beiqiangdeminnv		快些离开吧，这里很危险！												
630		yunjiuniang		世间这样喧嚣,江湖深不可测量，稍有不慎，粉身碎骨。												
631		xusanguan		随着时间的流逝，所有的感情都会逐渐的平静和淡忘。												
