标题	内容	是否不显示	EndTag
    1、选中NPC，其头像栏右侧有<pic=\image\ui\001a\main\bg_partner_can_catch.spr,0>的即为可被说服目标。
    2、越厉害的NPC越不容易被说服，不同类型的NPC需要使用不同的名帖来进行说服，有的NPC血量只有<color=yellow>降到一定程度<color>才能被说服：
      （1）目前开放的15级-55级的<color=yellow>野外场地<color>人形怪，使用<color=yellow>镶边帛帖<color>即可。
      （2）<color=yellow>逍遥谷<color>中现只有部分NPC可被说服，您必须先使其血量降到<color=yellow>20%以下<color>，再使用<color=yellow>穿珠银帖<color>进行说服。

<color=green>如何获得名帖？<color>
    1、名帖可在各大<color=yellow>新手村龙五太爷<color>处用<color=yellow>月影之石<color>换取。
    2、月影之石可以通过生活技能加工<color=yellow>月影原石（奇珍阁有售）<color>获得。

    <color=yellow>注：以后还会陆续开放其它场地与NPC，敬请关注！<color>
"		EndTag
【同伴系统】升级和亲密度	"<color=red>升级和亲密度<color>

<color=green>如何获得同伴经验？<color>
    必须满足以下条件：
    1、该同伴正在<color=yellow>出手相助<color>；
    2、击杀野外及秘境场地中的<color=yellow>精英怪和首领怪<color>；
    3、所击杀的怪与同伴等级相差不超过<color=yellow>15级<color>。
    4、该同伴<color=yellow>当前积累经验不满10级<color>。

    另外，115级场地的精英怪和首领怪会掉落“<color=yellow>同伴经验书<color>”，使用后可为您的同伴增加经验。

<color=green>如何提升同伴等级？<color>
    1、同伴当前积累经验满足升级所需经验；
    2、点击主界面左上方<color=yellow>同伴图标：<color><pic=\image\ui\001a\main\btn_player_partner.spr,0>，或按<color=yellow>F9<color>进入同伴面板；
    3、选中正在出手的同伴，点击<color=yellow>升级<color>按钮。

    注：同伴当前积累经验满10级后将<color=yellow>无法再获得经验<color>，请及时手动升级。
        同伴等级达到最高120级后，将无法再获得经验。

<color=green>如何增加亲密度？<color> 
    各种“<color=yellow>精魄<color>”能够提高亲密度。
    <color=yellow>精魄<color>可以在各<color=yellow>新手村龙五太爷<color>处用月影之石换取。

    注：等级在30级以下的同伴不需要提高亲密度。
        同伴亲密度达到最高100后将无法再提高亲密度。

<color=green>亲密度的衰减：<color>
    1、当您在<color=yellow>战斗状态<color>时，正在<color=yellow>出手相助<color>的同伴的亲密度会<color=yellow>衰减<color>；
    2、您与等级在30级以下的同伴的亲密度不会衰减；
    3、亲密度每天最多衰减<color=yellow>2点<color>；
    4、若亲密度低于<color=yellow>40<color>则该同伴不能出手相助。
"		EndTag
【同伴系统】技能养成与领悟度	"<color=red>技能养成与领悟度<color>

<color=green>技能养成方法：<color>
    1、成功说服同伴后，同伴会随机获得几种技能（<color=yellow>F9<color>同伴面板查看），您可以提高这些技能的等级。若您对同伴的技能不满意，可重新寻找新的同伴。
    2、同伴技能均为<color=yellow>被动辅助<color>，在<color=yellow>同伴出手相助时会全部生效<color>，但每次只能请<color=yellow>一位<color>同伴帮忙。 
    3、同伴的等级每提升<color=yellow>5级<color>，同伴的<color=yellow>某一项技能<color>等级便<color=yellow>有机会提升一级<color>，提升成功的概率由<color=yellow>领悟度<color>决定，若领悟度最高为100，则提升成功的概率即为100%。 
    注：未来同伴还将有各种新奇的<color=yellow>特殊技能<color>，敬请关注！

<color=green>领悟度的降低：<color>
    技能等级提升成功后，领悟度会<color=yellow>降低10<color>，但最低只会降到<color=yellow>40<color>。

<color=green>如何提高领悟度？<color>
    您可以通过在<color=yellow>F9<color>同伴界面中给同伴“<color=yellow>赠送礼物<color>”来提高领悟度。

<color=green>可赠送的礼物:<color>
    1、<color=yellow>玄晶、五行魂石<color>
    2、<color=yellow>金条、金条（大）<color>
    3、<color=yellow>逍遥谷成品<color>
      （血影枪、灵兽战靴、遁甲灵符、紫晶幻佩、七彩仙丹）
    4、<color=yellow>领土战成品<color>
      （百步穿杨弓、刑天战袍、行军符咒、游子护身符、千里止渴丹）
    5、<color=yellow>秦陵成品<color>
      （秦陵·长明灯、秦陵·搬山印、秦陵·摸金符、秦陵·和氏璧、秦陵·夜明珠）
"		EndTag
【同伴系统】重生与交易	"<color=red>重生与交易<color>

<color=green>如何重生？<color>
    1、<color=yellow>6.5星以下的120级<color>同伴使用<color=yellow>菩提果<color>即可。
    2、菩提果需要在新手村<color=yellow>龙五太爷<color>处，用月影之石换取。
    3、<color=yellow>50<color>个月影之石可以换取<color=yellow>1<color>个菩提果。
    4、<color=yellow>达到6.5星的120级<color>同伴需要在新手村<color=yellow>龙五太爷处申请<color>并等待一段时间后，方可重生。
    5、等级不足120级的同伴不能重生。

<color=green>重生后的同伴会有哪些变化？<color>
    1、<color=yellow>等级<color>回到1级；
    2、<color=yellow>潜能<color>回到初值；
    3、<color=yellow>技能<color>等级回到1级，技能保留；
    4、获得可以增加领悟度的<color=yellow>精华液<color>（只有两个技能的120级同伴重生后不会得到此项返还）。

<color=green>如何交易？<color>
    1、用月影之石在新手村<color=yellow>龙五太爷<color>处换取<color=yellow>推荐信<color>；
    2、1个月影之石可以换取1封推荐信；
    3、使用<color=yellow>推荐信<color>，选择一位<color=yellow>1级<color>的同伴；
    4、原同伴变为“<color=yellow>稚嫩的同伴<color>”道具，可将此交易给他人。
    <color=yellow>注意：只有1级的同伴才可使用推荐信，交易给他人。<color>

<color=green>如何查看他人的同伴？<color>
    1、<color=yellow>ctrl+鼠标右键<color>点击其他玩家，选择“<color=yellow>信息<color>”；
    2、弹出的玩家信息<color=yellow>面板右侧<color>会显示其<color=yellow>正在出手相助<color>的同伴的<color=yellow>等级、属性与技能等<color>信息。

"		EndTag
【同伴系统】解除同伴关系	"<color=red>解除同伴关系<color>

    1、在<color=yellow>F9<color>同伴面板，选择您要解除关系的同伴，点击<color=yellow>解散<color>并确认即可。
    2、如果同伴达到<color=yellow>5.5星<color>，则必须在新手村<color=yellow>龙五太爷<color>处才能解散同伴。

    <color=yellow>解除关系后同伴所增加的潜能点、财富荣誉，同伴技能等都将失效。<color>江湖人士最重义气，此举还请慎重考虑。
"		EndTag
【装备改造】介绍	"<color=yellow>装备改造介绍<color>

    把特定强化级别的装备通过某种方法进行改造，使其获得新的强大属性。

<color=yellow>改造方法<color>

    改造装备需要特定强化级别的装备，以及在奇珍阁商城里购买的<color=yellow>改造符文<color>，然后找各新手村或城市的<color=yellow>冶炼大师<color>，把该装备和改造符文一起放入并交纳一定费用以及补充一定量的玄晶就能成功改造，<color=yellow>改造成功率是100%<color>。
"		EndTag
【装备改造】符文	"<color=yellow>改造符文<color>
    
    改造符文是改造装备时所必须的道具，在奇珍阁商城出售。
    改造符文对应有多种，不同的强化等级，对应不同的改造符文；不同的装备类型，对应不同的改造符文。
    <color=yellow>改造符文在奇珍阁中出售<color>，如下表所示：
    <table=0>
    <tr=0,0,2,0,Orange><td=0,0,5,1>改造符类型</td><td=0,0,5,1>奇珍阁价格</td><td=0,0,5,1>上架时间</td></tr>
    <tr=0,0,1,1,hide><td>防具强15改造符</td><td>1000金币</td><td>开服后96天</td></tr>
    <tr=0,0,1,1,gray><td>饰品强15改造符</td><td>1500金币</td><td>开服后96天</td></tr>
</table>

    <color=green>注：武器改造暂不开放。<color>
"		EndTag
【装备改造】条件	"<color=yellow>改造条件<color>
    
    改造必须满足如下条件：
    1、只能对已强化的装备进行改造
    2、改造时放入对应的改造符文
    3、改造时放入一定价值量的玄晶，使得改造度达到100%

    <color=green>特别提醒：<color>
    从【强15】到【强16】的强化成本＝从【强15】到【强15改造】的改造成本＋从【强15改造】到【强16】的强化成本
    也就是说，<color=green>对打算强化更高级别的玩家，改造不会造成额外的费用。<color>
"		EndTag
【装备改造】效果	"<color=yellow>改造效果<color>

    改造效果在改造的当前强化级别和前一个强化级别提供效果预览。
    例如，开放强化15改造后，只有强化14和强化15的装备才能看到改造的加成效果。
"		EndTag
【装备改造】对强化和剥离的影响	"<color=yellow>改造对强化和剥离的影响<color>

<color=yellow>对强化的影响<color>
    对完成改造的装备继续强化时，需要的强化成本，会预先扣除已花费的改造成本。
    <color=yellow>对完成改造的装备进行强化后，则会失去已有的改造属性的效果。<color>

<color=yellow>对剥离的影响<color>
    对完成改造的装备进行剥离时，剥离后所获得玄晶和银两，会包含进行改造时所花费的成本（玄晶和银两）。
"		EndTag
【秦皇陵】简介	"<color=yellow>秦皇陵简介<color>

<color=green>秦陵开放时间：开放150级等级上限的60天后<color>

    自从一伙名为“发丘门”的盗墓团伙开启了秦始皇陵的大门后，江湖上抱着各种目的的人蜂拥而至，都企图在这传说中的宝库里分一杯羹。然而正如秦陵里幽暗而深邃的通道一样，谁也不清楚里面有怎样的事情在等待着前来冒犯帝威的人们。

    秦始皇陵一共分为 5 层，前四层每层都有大量千年来一直镇守着陵墓的士兵，击败这些士兵可获得<color=yellow>玄晶、夜明珠碎片和套装炼化图所需的材料<color>等珍贵物品。

    在与守陵士兵战斗的过程中，偶尔会出现一些同样前来寻宝的江湖异士，击败这些异士后可获得不菲的宝物。

    由于秦始皇陵是一个被封印了千年的古墓，为了阻挡盗墓者的入侵，里面充满了恐怖的毒瘴。这些毒瘴能让人四肢无力，防御和攻击都大幅度降低。<color=yellow>须得使用一种叫夜明珠的东西方能化解这些毒气<color>。一个人的武功修为越高，其受到的毒气侵蚀也越严重，所需要使用的夜明珠也就越多。

    使用了夜明珠后一小时之内可完全抵挡毒气，但为了避免处于这种剧毒环境下过久而导致经脉逆流，所以每人每天只可呆在秦始皇陵里<color=yellow>两小时<color>。

    据发丘门的盗墓者传说，凭着古人对机关制造技术的精湛技艺，每当星辰交替时秦陵第五层的大门即会开启，届时整个皇陵内部鬼影重重，这个陵墓的主人——秦始皇，及其幻化分身会分别出现在<color=yellow>陵墓一、三、五层<color>中。

    第五层的开放时间为：<color=yellow>下午 3:00–4:30，晚上 10:00–11:30<color>。

    据说发丘门目前的精英门徒已经深入到了秦陵的第三层，如果有人能从秦始皇身上获得宝物，则发丘门的门徒应该对此很有兴趣，说不定会用他们多年来盗墓所获得的<color=yellow>神兵利器<color>来交换。

【详情参见“秦皇陵的注意事项”】
"		EndTag
【秦皇陵】注意事项	"<color=yellow>秦皇陵的注意事项<color>

<color=green>Q： 如何进入秦始皇陵？<color>
A： 前往永乐镇旁的<color=yellow>阿房宫废墟<color>的东北侧，与<color=yellow>发丘门军师梁笑笑<color>对话进入。

<color=green>Q： 进入秦皇陵的限制条件有哪些？<color>
A： 100级以上的角色每天只能在秦皇陵逗留2个小时。
    皇陵内不能使用九转续命丸和乾坤符。
    <color=yellow>在皇陵五层开放时间内进入皇陵一、三、五层之后，PK模式为帮会模式，并且无法更换为其他模式。<color>

<color=green>Q： 秦皇陵的结构大致是怎样的？<color>
A： 秦皇陵共分5层，需要逐层深入探索。在第1层受重伤将被传送回城；在第2、3层受重伤将被先传送回1层；在第4、5层受重伤将被先传送回3层。
    前4层有大量镇守陵墓的士兵以及偶尔出现的江湖异士，击败他们可获得<color=yellow>玄晶、夜明珠碎片和套装炼化图所需的材料<color>等珍贵物品。
    每天<color=yellow>下午3:00 – 4:30，晚上10:00 – 11:30<color>皇陵第5层开启，在此时间内，皇陵一、三、五层会出现陵墓的主人——秦始皇，及其分身。

<color=green>Q： 如何驱除皇陵里的毒瘴？<color>
A： 皇陵的第2、3、4层充满了恐怖的毒瘴，须得使用<color=yellow>夜明珠<color>方能化解。每次使用夜明珠将可驱毒一个小时。
    武功修为越高的角色，其受到的毒气侵蚀也越严重，所需要使用的夜明珠也就越多。各层级修为需要消耗的夜明珠数量参考下表：
    <table=0>
    <tr=0,0,2,0,Orange><td=0,0,5,1>秦陵层数</td><td=0,0,5,1>超凡/出尘/凌绝</td><td=0,0,5,1>惊世/御空</td><td=0,0,5,1>混天</td><td=0,0,5,1>雏凤</td><td=0,0,5,1>潜龙</td><td=0,0,5,1>至尊</td><td=0,0,5,1>无双</td></tr>
    <tr=0,0,1,1,hide><td>2</td><td>-</td><td>-</td><td>-</td><td>1</td><td>1</td><td>3</td><td>5</td></tr>
    <tr=0,0,1,1,gray><td>3</td><td>-</td><td>-</td><td>1</td><td>1</td><td>3</td><td>9</td><td>15</td></tr>
    <tr=0,0,1,2,hide><td>4</td><td>-</td><td>1</td><td>1</td><td>2</td><td>6</td><td>18</td><td>30</td></tr>
    </table>

    注：<color=yellow>在同一层使用夜明珠的效果可以叠加，最多10小时<color>。

<color=green>Q： 如何获得夜明珠？<color>
A： 皇陵内的各种敌人都会有一定几率掉落<color=yellow>夜明珠的碎片<color>，使用100级以上的生活技能可加工制造成夜明珠。
    奇珍阁商城内也有夜明珠出售。
"		EndTag
【秦皇陵】神兵宝甲	"<color=yellow>秦皇陵的神兵宝甲<color>

<color=purple>【宝甲】<color>
    皇陵内的守卫会掉落各类炼化套装材料。使用100级以上的生活技能可加工制造成声望物品，使用后增加<color=yellow>声望：秦始皇陵·官府<color>。
    当声望达到一定等级后，可在<color=yellow>皇陵第1层<color>的发丘门门徒处购买套装的2级炼化图纸。
    当声望达到友好，可炼化出：<item=4,10,55,10>或<item=4,10,65,10>
    当声望达到亲密，可炼化出：<item=4,11,38,10>
    当声望达到钦佩，可炼化出：<item=4,3,207,10>或<item=4,3,223,10>或<item=4,3,240,10>

<color=purple>【神兵】<color>
    皇陵内的Boss会掉落和氏玉，使用100级以上的生活技能可加工制造成声望物品秦陵·和氏璧<item=18,1,377,1>，使用后增加<color=yellow>声望：秦始皇陵·发丘门<color>。
    
    收集<color=yellow>5<color>个秦陵·和氏璧<item=18,1,377,1>交给<color=yellow>皇陵第3层的野叟<color>可兑换为<color=yellow>1<color>个青铜武器炼化图。    
    在冶炼大师处可将特定的100级武器和此炼化图一起炼化为110级武器，炼化后示意如下：
    <item=2,1,1375,10><item=2,1,1376,10><item=2,1,1377,10><item=2,1,1378,10><item=2,1,1379,10><item=2,1,1380,10><item=2,2,150,10><item=2,2,155,10>
    <item=2,1,1407,10><item=2,1,1408,10><item=2,1,1409,10><item=2,1,1410,10><item=2,1,1414,10><item=2,1,1415,10><item=2,2,159,10><item=2,2,160,10>

    当声望达到一定等级后，可在<color=yellow>皇陵第3层<color>的发丘门门徒处购买各类武器。
    当声望达到友好，可购买：
    <item=2,1,1215,10><item=2,1,1216,10><item=2,1,1217,10><item=2,1,1218,10><item=2,1,1219,10><item=2,1,1220,10><item=2,2,125,10><item=2,2,130,10>
    <item=2,1,1267,10><item=2,1,1268,10><item=2,1,1269,10><item=2,1,1270,10><item=2,1,1274,10><item=2,1,1275,10><item=2,2,145,10><item=2,2,146,10>
    当声望达到钦佩，可购买：
    <item=2,1,1285,10><item=2,1,1286,10><item=2,1,1287,10><item=2,1,1288,10><item=2,1,1289,10><item=2,1,1290,10><item=2,2,135,10><item=2,2,140,10>
    <item=2,1,1337,10><item=2,1,1338,10><item=2,1,1339,10><item=2,1,1340,10><item=2,1,1344,10><item=2,1,1345,10><item=2,2,147,10><item=2,2,148,10>
"		EndTag
【逍遥道具换绑银】	"<color=yellow>逍遥道具换绑银<color>
    
    在各城市的<color=yellow>商会老板<color>处，可以用下列<color=yellow>逍遥谷道具兑换绑定银两<color>。
    <color=green>兑换限制：每周最多换30W绑银<color>
    <table=0>
    <tr=0,0,2,0,Orange><td=0,0,5,1>逍遥谷道具</td><td=0,0,5,1>绑银价值</td></tr>
    <tr=0,0,1,1,hide><td>仙灵原木</td><td>2000</td></tr>
    <tr=0,0,1,1,gray><td>灵兽毛皮</td><td>2000</td></tr>
    <tr=0,0,1,2,hide><td>灵兽血</td><td>2000</td></tr>
    <tr=0,0,1,2,gray><td>紫晶原石</td><td>2000</td></tr>
    <tr=0,0,1,3,hide><td>仙灵果</td><td>2000</td></tr>
    <tr=0,0,1,1,gray><td>商会令牌（逍遥谷2级令牌）</td><td>1000</td></tr>
    <tr=0,0,1,2,hide><td>商会令牌（逍遥谷3级令牌）</td><td>2000</td></tr>
    <tr=0,0,1,2,gray><td>商会令牌（逍遥谷4级令牌）</td><td>3000</td></tr>
    <tr=0,0,1,3,hide><td>商会令牌（逍遥谷5级令牌）</td><td>5000</td></tr>
    <tr=0,0,1,1,gray><td>【击杀卡】狼王</td><td>2000</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】熊王</td><td>1500</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】虎王</td><td>1500</td></tr>
    <tr=0,0,1,3,hide><td>【击杀卡】巨鳄</td><td>2000</td></tr>
    <tr=0,0,1,1,gray><td>【击杀卡】猴王</td><td>3500</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】马王</td><td>1500</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】异兽</td><td>2000</td></tr>
    <tr=0,0,1,3,hide><td>【击杀卡】煞大目</td><td>3000</td></tr>
    <tr=0,0,1,1,gray><td>【击杀卡】幽冥鬼王</td><td>2500</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】魏军统领</td><td>4000</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】吴军统领</td><td>4000</td></tr>
    <tr=0,0,1,3,hide><td>【击杀卡】监军</td><td>4000</td></tr>
    <tr=0,0,1,1,gray><td>【击杀卡】紫苑</td><td>3500</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】秦仲</td><td>3500</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】任淼</td><td>4000</td></tr>
    <tr=0,0,1,3,hide><td>【击杀卡】萧不实</td><td>4500</td></tr>
    <tr=0,0,1,1,gray><td>【击杀卡】木超</td><td>3000</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】夏小倩</td><td>3500</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】胡坤</td><td>4500</td></tr>
    <tr=0,0,1,3,hide><td>【击杀卡】墨君</td><td>5000</td></tr>
    <tr=0,0,1,1,gray><td>【击杀卡】唐羽</td><td>5000</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】胡乾</td><td>3500</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】叶静</td><td>5000</td></tr>
    <tr=0,0,1,3,hide><td>【宝物卡】血影枪</td><td>4500</td></tr>
    <tr=0,0,1,1,gray><td>【宝物卡】灵兽战靴</td><td>4500</td></tr>
    <tr=0,0,1,2,hide><td>【宝物卡】遁甲灵符</td><td>4500</td></tr>
    <tr=0,0,1,2,gray><td>【宝物卡】紫晶幻佩</td><td>4500</td></tr>
    <tr=0,0,1,3,hide><td>【宝物卡】七彩仙丹</td><td>4500</td></tr>
    <tr=0,0,1,1,gray><td>【秘宝卡】邪灵</td><td>5000</td></tr>
    <tr=0,0,1,2,hide><td>【秘宝卡】圣痕</td><td>5000</td></tr>
    <tr=0,0,1,2,gray><td>【秘宝卡】冰莲</td><td>5000</td></tr>
    <tr=0,0,1,3,hide><td>【闯关卡】智勇双全</td><td>3000</td></tr>
    <tr=0,0,1,2,gray><td>【闯关卡】蛇窝脱险</td><td>3000</td></tr>
    <tr=0,0,1,2,hide><td>【闯关卡】助人为乐</td><td>3000</td></tr>
    <tr=0,0,1,3,gray><td>【闯关卡】后生可畏</td><td>4000</td></tr>
    <tr=0,0,1,1,hide><td>【闯关卡】逃脱大师</td><td>5000</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】机关斧手</td><td>2000</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】叛军统领</td><td>2500</td></tr>
    <tr=0,0,1,3,gray><td>【击杀卡】果农</td><td>2000</td></tr>
    <tr=0,0,1,1,hide><td>【击杀卡】机关巨狼</td><td>3500</td></tr>
    <tr=0,0,1,2,gray><td>【击杀卡】强盗头领</td><td>4000</td></tr>
    <tr=0,0,1,2,hide><td>【击杀卡】旺财</td><td>2500</td></tr>
    <tr=0,0,1,3,gray><td>【秘宝卡】怨灵</td><td>5000</td></tr>
    <tr=0,0,1,2,hide><td>【秘宝卡】雪晶石</td><td>5000</td></tr>
    <tr=0,0,1,3,gray><td>【闯关卡】此地无银</td><td>3000</td></tr>
    <tr=0,0,1,1,hide><td>【闯关卡】护花使者</td><td>2500</td></tr>
    <tr=0,0,1,2,gray><td>【闯关卡】杀出重围</td><td>3000</td></tr>
    <tr=0,0,1,2,hide><td>【闯关卡】猴口夺食</td><td>3000</td></tr>
    <tr=0,0,1,3,gray><td>【击杀卡】张德恒</td><td>3000</td></tr>
    <tr=0,0,1,2,hide><td>【闯关卡】技高一筹</td><td>2500</td></tr>
    <tr=0,0,1,2,gray><td>【闯关卡】童心未泯</td><td>3000</td></tr>
    <tr=0,0,1,2,hide><td>【闯关卡】勇冠三军</td><td>3000</td></tr>
    <tr=0,0,1,3,gray><td>【特殊卡】变幻</td><td>5000</td></tr>
    </table>
"		EndTag
